question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
"If a creature has multiple instances of Poisonous, how many times does the ability trigger?",Each instance triggers separately.,It triggers only once regardless of the number of instances.,It triggers twice no matter how many instances there are.,It triggers only for the first instance and ignores the rest.
What does the “Poisonous N” ability do when the creature deals combat damage?,The player gets N poison counters.,The creature takes N damage.,The creature gains N life.,The creature deals N damage to the defending player.
What type of ability is Poisonous?,Triggered ability.,Activated ability.,Static ability.,Legendary ability.
When does the poisonous ability trigger?,Whenever the creature deals combat damage to a player.,At the beginning of the player's upkeep.,When the creature enters the battlefield.,When the creature dies.
"If a creature has multiple instances of poisonous, how does the ability trigger?",Each instance triggers separately.,Only one instance triggers.,The ability does not trigger at all.,The ability triggers only once but grants double counters.
What type of ability is Transfigure?,An activated ability,A triggered ability,A static ability,An instant spell
What must you do in order to activate Transfigure?,Sacrifice the permanent that has the ability,Tap the permanent that has the ability,Discard a creature card from your hand,Pay an additional one mana cost
What does Transfigure allow you to do when you activate it?,"Search your library for a creature card with the same mana value and put it onto the battlefield, then shuffle",Draw two cards and then shuffle your library,Put a creature card from your hand onto the battlefield,Exile a creature you control and then return it to the battlefield
At what times can Transfigure be activated?,Only as a sorcery,Any time during your main phase,During your opponent’s combat phase,At instant speed on the stack
What does the Transfigure ability do?,"Sacrifice this permanent, search your library for a creature card with the same mana value as this permanent, put it onto the battlefield, then shuffle your library. Activate only as a sorcery.","Sacrifice this permanent, draw a card, and shuffle your library.","Sacrifice this permanent, put it onto the battlefield, and shuffle your library.",Activate it at any time and it has no effect.
Which abilities are represented by the Champion keyword?,"When this permanent enters, sacrifice it unless you exile another [object] you control; when this permanent leaves the battlefield, return the exiled card to the battlefield under its owner’s control.","When this permanent enters, you may pay mana to return it to hand; when it leaves, it is exiled.","When this permanent enters, you may tap another creature to sacrifice it; when it leaves, that creature is returned.","When this permanent enters, you may exile it and it returns at end of turn; when it leaves, it is shuffled back into the library."
What must you do with your library after casting Transfigure?,Shuffle your library.,Keep it as it is.,Discard half of it.,Draw a card.
When can you activate Transfigure?,Only as a sorcery.,During your upkeep.,During the declare attackers step.,During any player's turn.
What does it mean that the champion abilities are linked?,"The two abilities act as a single set: when a champion enters the battlefield it triggers a sacrifice requirement that also causes an exile, and when the champion leaves the battlefield the exiled card is returned.",The two abilities are unrelated and trigger independently of each other.,The champion ability only triggers when the champion is on the battlefield; the exile happens afterward.,The champion ability never causes a card to be exiled; it only forces a sacrifice.
What does the keyword “Changeling” do to a creature?,It makes the creature have every creature type at the same time.,It allows the creature to change its type whenever its controller chooses.,It gives the creature flying and deathtouch.,It grants the creature the ability to tap for mana.
Which statement best describes the effect of “Changeling” on an object?,"The object is considered every creature type simultaneously, regardless of its location.",The object can only become a creature type while it’s on the battlefield.,The object changes to a new creature type each turn.,The object can only be a creature type if it’s attacking.
What is the effect of paying a creature’s evoke cost when it is cast?,The creature is cast for the evoke cost and then its controller must sacrifice it as it enters the battlefield.,The creature is cast for the evoke cost but stays on the battlefield without any sacrifice.,The creature is cast for the evoke cost and then immediately leaves the battlefield without being sacrificed.,The creature is cast for the evoke cost and gains a +1/+1 counter.
How does the evoke ability change the casting of a spell?,"It lets you cast the spell by paying its evoke cost instead of its regular mana cost, and if that cost is paid, the permanent is sacrificed upon entering.",It allows you to cast the spell for free and gives the permanent an extra ability.,It forces you to pay the spell’s mana cost plus an additional tax.,It lets you cast the spell only during your opponent’s turn.
"What does the ""Evoke [cost]"" ability allow a player to do when casting a card?",You may cast this card by paying its evoke cost instead of its mana cost.,You may cast this card by drawing an extra card.,You may cast this card only during your main phase.,You may cast this card and gain life equal to its mana cost.
"When a permanent with evoke enters the battlefield after its evoke cost was paid, what happens?",Its controller sacrifices the permanent.,The permanent remains on the battlefield normally.,The permanent gains an additional ability.,The controller gains life equal to the permanent’s power.
In which zones does the static component of Evoke operate?,In any zone from which the card with evoke can be cast.,Only on the battlefield.,Only from the graveyard.,Only from the exile zone.
How does the static component of Evoke interact with alternative costs according to the rules?,It functions as a static ability that allows the card to be cast for its evoke cost from any zone.,It requires the player to pay double the mana cost.,It allows the player to pay life instead of mana.,It restricts the card to be cast only during combat.
What happens when a permanent with Hideaway enters the battlefield?,"You look at the top N cards of your library, exile one face‑down, and put the rest on the bottom of your library in random order. The exiled card gains “The player who controls the permanent that exiled this card may look at this card in the exile zone.”",All opponents may look at the top N cards of your library.,You draw N cards.,You gain N life.
What special ability does the exiled card receive under Hideaway?,It gains “The player who controls the permanent that exiled this card may look at this card in the exile zone.”,It becomes a creature.,It is removed from the game.,It is returned to its owner’s hand.
Hideaway is best described as which type of ability?,Triggered ability,Static ability,Activated ability,Legendary ability
"When a permanent with hideaway enters the battlefield and you look at the top N cards of your library, what happens to the cards that you do not exile face‑down?",They are put on the bottom of your library in a random order.,They are discarded into the graveyard.,They are shuffled back into the library.,They are returned to your hand.
What ability does the exiled card gain when it is exiled by a Hideaway permanent?,The player who controls the permanent that exiled this card may look at this card in the exile zone.,It becomes an instant that can be cast from exile.,It is returned to the battlefield as a token.,It is permanently lost with no interaction.
What is the number of cards a player must look at when a hideaway permanent enters the battlefield?,four,three,five,six
Which keyword ability causes a permanent to enter the battlefield tapped and to have a fixed number of cards looked at in the exile zone?,Hideaway,First strike,Flying,Deathtouch
What additional ability was added to all older hideaway cards during the errata update?,“enters tapped”,“has flying”,“has deathtouch”,“has first strike”
