question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
What is the primary purpose of a Magic booster pack when building a deck?,to provide a random selection of cards that can be added to a player’s collection and used to customize their deck,to guarantee a complete pre‑assembled deck in every pack,to contain only basic land cards,to replace the need for an intro pack
What does the statement “You don’t know what cards you’ll get in a Magic booster pack” imply about the contents of the pack?,the contents are random and unpredictable before the pack is opened,you can read the future of the cards with a crystal ball,the pack contains only cards from the latest expansion,the contents are predetermined for each player
How often are new Magic expansions typically released?,a few times a year,every week,once a decade,only when a new game format is announced
How often are new Magic expansions released?,A few times a year.,Once a month,Every decade,Only during special events
What does each new expansion bring to the game?,New ways to stupefy and defeat your opponents.,A new rule that eliminates all creature cards,A mandatory tournament schedule,A set of random numbers for dice rolls
Which section of the rules covers the five colors of mana?,Section 1: The Basics,Section 2: Gameplay Mechanics,Section 3: The Basic Types of Cards,Section 4: The Card Game's Rules
What are the five card types in Magic: The Gathering?,"Artifact, Creature, Enchantment, Instant, Sorcery","Planeswalker, Aura, Land, Equipment, Token","Creature, Spell, Item, Spellcaster, Spell","Artifact, Land, Planeswalker, Equipment, Enchantment"
"What is the subject of the page section titled ""Spells""?","It covers all the rules related to casting, targeting, and the use of spell cards.",It lists all creature abilities.,It explains the mana system.,It defines the winning conditions of a game.
"Which numbered heading comes immediately before the ""Spells"" section?","The heading ""8. Creatures"" appears immediately before the ""Spells"" section.","The heading ""10. Abilities"" appears immediately before the ""Spells"" section.","The heading ""7. Casting Rules"" appears immediately before the ""Spells"" section.","There is no numbered heading immediately before the ""Spells"" section."
Which section of the Magic: The Gathering rulebook deals with abilities?,"The section titled ""10 Abilities""","The section titled ""12 Attacking and Blocking""","The section titled ""3 Phases""","The section titled ""14 Creatures"""
"What does the section number ""10"" refer to in the Magic: The Gathering rulebook?",It refers to the section on abilities.,It refers to the section on combat.,It refers to the section on cards.,It refers to the section on the mana system.
What does Section 3 in the Magic: The Gathering rulebook refer to?,Playing a Game: Get a Deck,Rule 3: Deck Building,Section 3: Game Types,Section 3: Card Types
Which page number does the section titled 'Questions?' appear on according to the excerpt?,21,20,22,30
What is the main objective of the game?,reduce your opponent to 0 life by attacking with creatures and playing spells,win when you control all lands,win when you have the highest mana pool,win when you accumulate the most artifacts
How many life points does each player begin the game with?,20,30,15,25
What is the primary win condition in Magic: The Gathering?,Reduce an opponent’s life total to 0,Capture all of an opponent’s cards,Deplete an opponent’s mana pool,Force an opponent to skip a turn
Which card type is required to play other cards during a turn?,Land,Creature,Sorcery,Artifact
Which of the following card categories are typically played during a game?,"Lands, creatures, sorceries, and other spells",Enchantments only,Tokens only,Tokens and artifacts
What occurs when a player’s life total reaches 0?,They lose the game,They win the game,The game ends in a draw,The game restarts with new decks
How many colors of mana can a player choose to master in Magic: The Gathering?,One or all five,Only all five,Only one,All seven
What is white mana associated with?,"law, order, and structure","chaos, destruction, and speed","life, growth, and protection","power, conquest, and domination"
What is the primary focus of green magic?,"Growth, life, and brute force",Blue mana manipulation and counterspells,Summoning early‑game small creatures only,Artifice and equipment build
What type of mana do Forests produce?,Green mana,Red mana for burning spells,White mana for protection,Black mana for sacrifice
How does green magic typically win battles?,By dominating through sheer size,By casting many instant spells quickly,By using exile effects to remove threats,By controlling the battlefield with counters on the board
What does green mana represent?,The pulse of nature,The color of fire,The deep sea,The endless sky
Which concept best describes the essence of blue magic?,Trickery and manipulation,Growth and brute force,Predatory might,Size dominance
Which land type provides blue mana?,Islands,Mountains,Forests,Swamps
What color of mana do Islands provide?,Blue,Red,Green,Black
Which basic land type produces red mana?,Mountains,Islands,Swamps,Plains
How is the style of red magic most commonly described?,"Fast, reckless, and emotionally driven","Patient, calculated, and methodical","Defensive, protective, and slow",Focused on healing and support
What type of land is the source of black mana?,Swamps,Mountains,Plains,Islands
Which environment is associated with black mana?,Dank swamps,Sunny meadows,Crystal caves,Frozen tundra
What information is included in a card’s type line?,"The card’s type, subtype, and supertype",Only the card’s name,The card’s mana cost,The card’s abilities
What is the subtype of Shivan Dragon?,Dragon,Human,Goblin,Spirit
What is the primary resource used to cast spells?,Mana,Crystal,Energy,Luck
How do you pay a mana cost that reads “4oRoR”?,Pay any four mana plus two red mana,Pay any four mana plus two green mana,Pay any four mana plus two blue mana,Pay four red mana plus any two mana
What do the symbols in a card’s upper‑right corner indicate?,The mana cost required to cast the spell,The card’s power and toughness,The card’s card number,The card’s rarity
Which type of cards produce mana that can be used to cast spells?,Lands,Creatures,Planeswalkers,Artifacts
Which Magic set does this version of Shivan Dragon belong to?,Magic 2014 core set,Magic 2013 core set,Magic 2015 core set,Magic 2014 expansion set
